id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2013210,1569-09-11,Gerrit,Pietersz,Gerrit Pietersz attesteert betreffende de vestingmuren van Nieuwpoort ,Grote Raad Mechelen Beroepen Holland dl VII dossier 624/5,,
2013211,1498-03-07~,Gerrit,Symonsz,"Gerrit Symonsz, priester en confessor van het St Agnietenklooster te Gouda",Grote Raad Mechelen Beroepen Holland dl II dossier 197,,
2013212,1436-1437,Gheryt,Pietersz,"Gheryt Pietersz: pluymgrave op de Langedyc, van zyn roc 3 £ (867 fol 10v); 1437-1438 (868 fol 9v), 1438-1439 (869 fol 11): van zyn roc 3 £; 1435-1436 (866 fol 4v), 1436-1437 (867 fol 4): de tienden van Noirt Scaerwoude 17sc, 20sc; 1438-1439: (869 fol 4, 6a, 6v) de tienden van Zuid Scarwoude 2£, bevist voor de grafelijkheid de Langelaen, Zuid Scerwoude en Broek, de vroonscoude op de Langedyc 10sc; 1437-1438: (868 fol 6a, 8v) bevist de Langerlaen etc, de vroonscoude op de Langedyc, behalve Oudkarspel, 10sc",Rek Rentmeester Kennemerland,,
2013213,1439-1440,Gheryt,Pietersz,"Gheryt Pietersz: bevist de Langelaen, Zuid Scarwoude en Broeck, de vroenscoude van de Langedijk, zonder Oudkarspel, 12sc, van zyn roc 3 £ (870 fol 7v. 10, 14v); 1440-1441 (871 fol 15v), 1441-1442 (872 fol 16v), 1442-1443 (873 fol 20), 1443-1444 (874 fol 20): pluymgrave op de Langedyk, van zyn roc 3£; 1443-1444: (874 fol 13v, 16) des rentmeesters dienaar op die Langedyk, gadert het haartgelt aldaar, van bespreek van de tienden van Noord Scherwoude, 13£ 10sc",Rek Rentmeester Kennemerland,,
2013214,1444-1445,Gheryt,Pietersz,"Gheryt Pietersz: pacht de tienden van Noort Scerwoude voor 4 £ 12sc 3d, gadert het haartstedegeld op de Langedyk, pluimgrave, van zijn roc 3 £ (875 fol 6, 14v, 21); 1445-1446:  gadert haartstedegelt op de Langedyc met Henric van der Steghe, pluimgrave idem, zyn roc 3£ (876 fol 12v, 17v); 1446-1447: als pluimgrave en veilre opgevolgd door Dirc Pietersz, van besprek van de tienden van Noord Scerwoude 56sc 3d (877 fol 19, 15v); 1447-1448: van idem 56sc 3d (878 fol 16)",Rek Rentmeester Kennemerland,,
2013215,1450-1451,Gheryt,Pietersz,"Gheryt Pietersz: de biertollen op de Langedyk 12sc (881 fol 10v); 1451-1452 (882 fol 11v), 1452-1453 (883 fol 11), 1454-1455 (885 fol 12v), 1456-1457 (887 fol 15v): de biertollen op de Langedyk 12sc",Rek Rentmeester Kennemerland,,
2013216,1470-1471,Gheryt,Pietersz,"Gerrit Pietersz: koopt de nalatenschap van wijlen Willem Jansz, bastaard te Beverwijk (902 fol 19v)",Rek Rentmeester Kennemerland,,
2013217,1474-1475,Gheryt,Pietersz,"Gheryt Pietersz: de tienden van 2 cleyne laenkens geheten de Rijstiende te Aelsmeer, gepacht voor 28sc (906 fol 22v); 1475-1476 (907 fol 21v) t/m 1490-1491 (921 fol 20): idem 28sc; 1494-1495: (922 fol 17) overmits die rebelligheid van die van Haarlem [Kaas- en Broodvolk 1492], wordt hem deze erfpacht ontnomen; 1495-1496: (923 fol 23v) pacht 36sc",Rek Rentmeester Kennemerland,,
2013218,1496-1497,Gheryt,Pietersz,schepen van Oostzaan: Gerijt Pietersz (924 fol 24),Rek Rentmeester Kennemerland,,
2013219,1479-1480,Gheryt,Pieter Andriesz,"Gheryt Pieter Andriesz pacht land van Griet, weduwe van Copkin Reynersz (te Alkmaar), gelegen te Limmen (910 fol 22v)",Rek Rentmeester Kennemerland,,
2013220,1384-1385,Gheryt,Reylofsz,Gheryt Reijlofsz: van de tienden van Westerblocweer 7 £ (826 fol 16v); 1385-1386: die ganc ael ende sciptollen tot Enchusen 20 £ (827 fol 19),Rek Rentmeester Kennemerland,,
2013221,1349-1350,Gheryt,Reynersz,Gheryt Reynersz: van cleilande te Vroen (798 fol 2v),Rek Rentmeester Kennemerland,,
2013222,1431-1432,Gheryt,Reyntgensz,Geryt Reyntgensz: de tienden van Nuwe Nydorp 9 £ 3sc (862 fol 3v),Rek Rentmeester Kennemerland,,
2013223,1497-1498,Gheryt,Reyersz,"Geryt Reijersz: pacht de waag van Sloten en Oesdorp, 5 jaar lang, ingaande 1497-11-11, voor 5 £ per jaar (925 fol 23); 1498-1499: (926 fol 17v) 5 £ ",Rek Rentmeester Kennemerland,,
2013224,1349-1350,Gheryt,Rembrandsz,Gerrit Rembrandsz: van den lande te Vronen (798 fol 10v); 1356-1357: (804 fol 9v) idem 4 £ 3sc 11d; 1357-1358: (805 fol 10v) idem 4 £ 3sc 11d; 1358-1359: (806 fol 12v) idem 4 £ 3sc 11d,Rek Rentmeester Kennemerland,,
2013225,1422-1423,Gheryt,Rens,Gherijt Rens en Reyner Ybenz: afterstal van 1421 van der Utwerp 2 £ 5sc 2d (852 fol 12),Rek Rentmeester Kennemerland,,
2013226,1413,Gheryt,Rensenz,"Gheryt Rensenz van een besterfte tot Scagen, bij dode van zijn vader Rense, die in Oostvriesland stierf, ontvangen daarvan 6 £ (843 fol 8v)",Rek Rentmeester Kennemerland,,
2013227,1428,Gheryt,Rics,"Gherijt Rics, met zijn zuster: afterstal van 1427 van Vroonland 30sc (858 fol 4)",Rek Rentmeester Kennemerland,,
2013228,1419-1420,Gheryt,Saefs,Gheryt Saefs: afterstal van 1418 van de visserij van Bersingerhorn 29sc 5d (850 fol 10v),Rek Rentmeester Kennemerland,,
2013229,1408,Gheryt,Sappenz,"Gheryt Sappenz, volgt na Jacob Sappenz: buer te Coedyc, pacht Vroonland voor 3 £ 18sc 4d (839 fol 8); 1409: (840 fol 14v) van idem 3 £ 18sc 4d; 1423-1424: (854 fol 11v) afterstal van 1422, 40sc",Rek Rentmeester Kennemerland,,
2013230,1422-1423,Gheryt,Zyboutsz,"Gheryt Zyboutsz: afterstal van 1419, zijn borg Odulf Herenz is schuldig 5 £ (852 fol 8v)",Rek Rentmeester Kennemerland,,
2013231,1494-1495,Gheryt,Symonsz,schepen van Sparenwoude: Geryt Symonsz (922 fol 29),Rek Rentmeester Kennemerland,,
2013232,1448-1449,Gheryt,Symonsz,"Gheryt Symonsz, Jan Symonsz en 2 anderen, pachten voor 2 jaar de visserijen tot Enchusen, buiten de zeedijk, per jaar voor 95 £ 19sc (879 fol 9); 1449-1450: visser van Enchusen, als voren 96 £ 19sc (880 fol 9v); 1450-1451: als voren 76£ (881 fol 9v); 1451-1452: (882 fol 10) gebroeders, als voren voor 85£ 10sc; 1452-1453 (883 fol 9v) t/m 1455-1456 (886 fol 14v): van idem 85£ 10sc; 1456-1457: (887 fol 14v) Gerrit Symonsz, Melis Symonsz en Barent Doedenz, vissers, van idem 73£ 10sc",Rek Rentmeester Kennemerland,,
2013233,1304~,Gerrit,Tiedemansz,"leen van Putten in Zuidholland: Geraert Tiedmansz, de polre te Geervliet",R.G.P. Grote Serie no 171 Rek Dom Putten II p 265,,
2013234,1422,Gheryt,Willemsz,"Geryt Willemsz, te Velsen: 10 ½ nobel op Sparendam, van 1421, 26 £ 5sc (178 fol 97v)",Thesauriersrekening Haarlem,,
2013235,1457-1458,Gheryt,Willemsz,"Margriete, weduwe van Gerrit Willemsz, van Leiden, koopt een lijfrente van 20 R gld op Haarlem voor 293 £ 6sc 8d (207 fol 7v)",Thesauriersrekening Haarlem,,
2013236,1471-1472,Gheryt,Steffenz,"Machteld, dochter van Gerrit Steffensz, koopt een lijfrente van 5 R gld op Haarlem voor 70 £ (219 fol 10)",Thesauriersrekening Haarlem,,
2013237,1476,Gheryt,Franc,"Tetroed: Gheryt Franc, 2 st, vercoft den 1487-01-26",Renten St Bavo Haarlem fol 25,,
2013238,1450,Gheryt,Florisz,"Gerrit Florisz: bij de Jan Lottenszlaen, is aan de kerk van Haarlem schuldig van testament 1 nobel; Dirc Florisz, te Heemstede, is schuldig 1 gld van besprek",Kerkelijke Rek Haarlem II (9°),,
2013239,1456,Gheryt,Willemsz,"Gerrit Willemsz, van Wimmenum: 6 gld te betalen 14 dagen na St Jacob",Kerkelijke Rek Haarlem 26v,,
2013240,1503,Gheryt,Willemsz,"Gheryt Willemsz, van Overveen, is doet, een opdoen van syn graf, geluid cloc Bavo",Kerkelijke Rek Haarlem 15v,,
2013241,1483,Gheryt,Willemsz,"schepen van Alkmaar: Jacob, zoon van Gerrit Willemsz",Bruinvis: Alkmaar p 26,,
2013242,1454-1485,Gheryt,Vredericsz,schepen of burgemeester van Alkmaar: Gerrit Vredericsz,"Bruinvis: Alkmaar p 17, 25",,
2013243,1433-1438,Gheryt,Florisz,"schepen van Alkmaar: Gheryt Florisz; benoemd tot vroedschap: 1436-04-24, 1451-03-26",Bruinvis: Alkmaar p 25,,
2013244,1477-04-25,Gheryt,Willemsz,"leen van Egmond: no 177) een weide in Valkoog, genaamd Strijp, belend als in 1524, 1477-04-25: Gerrit Willemsz te Alkmaar, na opdracht",Ons Voorgeslacht 05-1988 p 215/R.A.H. Coll Aanw 711,,
2013245,1468-09-15,Gheryt,Willemsz,"""man"" van de hoge vierschaar van Kennemerland: Gerrit Willemsz (1468-10-03)",Coll Aanw 240 fol 1186,,
2013246,1468-07-27,Gheryt,Willemsz,Geryt Willemsz contra schepenen van Muyden en de schout; 1468-08-08: gevoegd met die stede van Naarden,"Coll Aanw 240 fol 1002, 1058, 1128, 1129",,
2013247,"1366, 1377, 1386",Gheryt,Willemsz,schepen van Delft: Gerrit Willemsz,"Bortet: Delft p 100, 102",,
2013248,1358-02-24,Gerrit,Floris Hermansz,"leen no 236) 4 morgen land met woning te Maaslant, oostwaarts van de Kerkweg, beleend Floris Hermansz, opgedragen door Aerndt die Hout [Hont] en 2 morgen vrij goed opgedragen door Floris Hermansz; ….: Gerrit Floris Hermansz, na dode van zijn vader",Arch Nassau Domeinraad dl 1 p 83,,
2013249,1337,Gerrit,Florekinsz,"Tetrode, van wintval: Gheryt Florekinsz 1 stic 3sc, Jan Florekinsz 1 stic 2sc",Rek Houtvester dl VII p 89,,
2013250,1338,Gerrit,Wigger,"Hillegom, van beesten, afterstal van 1337: Ghered Wicker, 5 scare 7sc 6d, Hughe Gheret Wickerz 5 scare 7sc 6d, noch Hughe 3 koeien 4sc 6d, Hughe Wicghersz, boven dat hi Willaem gegeven heeft 5sc",Rek Houtvester dl VII p 82,,
2013251,1338,Gerrit,Foyen neve,"Noordwijkerhout, van beesten, afterstal van 1338: Ghisebrecht Foyenz 3sc, Ghered, Foyen neve 6sc 6d; ontvangen van afterstal van vóór 1337: Ghered Foyen neve 3sc","Rek Houtvester dl VII p 84, 87",,
2013252,1338,Gerrit,Foddekin,"Nortich, Norticherhout, Langevelt, van veenhuur: Ghered Foddekin 12d",Rek Houtvester dl VII p 102,,
2013253,1343,Gerrit,Willeman Wittenz.z,Gerrit Willeman Wittenz.z: van zijn leen 5 £; 1344: Willeman Wittenz: van zijn leen 5 £ ,"Rek Rentmeester Kennemerland dl II p 328, 476",,
2013254,1350~,Gheryt,Florisz,"Gheryt Florysz: van 1 rode valc, 4 £, 1 haghe mute valc mit eenre mute 40sc (datum niet genoteerd); 1357-1358: van vogelen in de Hout, Florens Femmenz: 2 valc teersel 30sc, zijn zoon Gheryt: 2 rode valken 8 £, 1 valc taersel 15sc (805 fol 19v); 1360-1361: levert talrijke valken (808 fol 26v, 27); 1374-1375: (818 fol 14v) oude Gheryt Florisz levert 1 valc taersel 15sc; 1375-1376: (819 fol 16v) Gheryt Florisz levert een haghemuter valc 20sc; 1379: (821 fol 16) een rode valc taersel 15sc; 1380: 1 rode valc 4£ (822 fol 14); 1382: een rode havic 50sc en een valc taersel 15sc (823 fol 16)",Rek Rentmeester Kennemerland,,
2013255,1383-1384,Gheryt,Florisz,"Gheryt Florysz: de tienden van Edertswoude 3 £, levert 1 valc taersel 15sc, afterstal van de tienden van Opdam 20st (825 fol 15v, 22, 2); 1384-1385: afterstal van de tienden van Edertswoude 3 £ 18sc 6d, van Twisch 15 £ (826 fol 5, 16v); 1385-1386: de tienden van Edertswoude 4£ , de watertocht buten Spanbroec 3£ 12d, de biertollen in Houtwoudercogge 44sc, afterstal van de tienden van Edertswoude 20sc (827 fol 17, 18v,19v, 33); 1389-1390: levert 2 rode valken 8£ (828 fol 23)",Rek Rentmeester Kennemerland,,
2013256,1403-1404,Gheryt,Florisz,"Gheryt Florysz: levert 1 valc taersel 15sc (834 fol 12v); 1406: (837 fol 15) van 2 bladetgens 20sc, 1 rode valc 50sc, 1 scuf ut 4 £, van zijn wedde in de Hout te leggen 4 £; 1407: Gheryt Florysz en Florys Florysz elc van 1 valc taersel 30sc (838 fol 1%)",Rek Rentmeester Kennemerland,,
2013257,1416,Gheryt,Foye ,Gheryt Foije: int en betaalt aan de grafelijkheid van een besterfte te Wognem 50 sc (846 fol 7v); 1417: van de tienden van Wadweyde 3 £ 4sc (847 fol 3v); 1420-1421: van idem 2 £ 9sc (851 fol 4); 1422-1423: idem 35sc (852 fol 2v); 1423-1424: afterstal van 1422 van Watweyde 13sc (854 fol 10v),Rek Rentmeester Kennemerland,,
2013258,1422-1423,Gheryt,Foye,Geryt Foij: afterstal van 1420 van de tienden van Watwey 3 £ 16sc (852 fol 9),Rek Rentmeester Kennemerland,,
2013259,1384-1385,Gheryt,Volkertsz,"Gheryt Volkertsz: afterstal van de tienden van Grotebroec 26 £ 8d, van de tienden van Hoghekerspel 6 £ 10sc, en die van Hem 10 £, de swaen in den utende 6 £ 10sc (826 fol 5v, 16v, 19v); 1382: (823 fol 11) de tienden van Bovenkarspel 18 £; 1383: de tienden van Hem 10£ (824 fol 9); 1383-1384: (825 fol 16, 19v) de tienden van Grotebroec 18£ 15sc, van een besterfte tot Enchusen 50st",Rek Rentmeester Kennemerland,,
2013260,1385-1386,Gheryt,Volkertsz,"Gheryt Volkertsz: de tienden van Westenwoude 11 £, de biertollen in Enchusercogge 35sc (826 fol 18, 19v); 1389-1390: (828 fol 18) de sluzen van Medemblic 115 £ (112?); 1393-1394: de tienden van Midwoude en Oestenwoude 50sc, van Sybenkerspel 6 £ (829 fol 9)",Rek Rentmeester Kennemerland,,
2013261,1408,Gheryt,Volkert Volkertsz,"Gheryt Volkert Volkertsz: de tienden van Edertswoude 2 £, Gheryt Volkertsz van de tienden van Wognem 26 £ 10sc, afterstal van 1407 samen met Hidde van der Does van de tienden van Twisck 10 £ 19sc 7d (839 fol 11v, 30)",Rek Rentmeester Kennemerland,,
2013262,1389-1390,Gheryt,Voppenz,"Gherijt Voppenz: huurt 11 want te Vronen 9 £ 19sc 6d (828 fol 12); 1393-1394: idem 7 £ 19sc 6d (829 fol 4); 1383: (824 fol 13v) afterstal van 1382 van Vronen 39sc 2d; 1400: (830 fol 4) land te Vronen 7 £ 19sc 6d; 1403-1404: idem (834 fol 4); 1408: (839 fol 9) buer te Coedyc pacht Vroonland voor 5£ 14sc 1d (vooraf gaan: Voppe Yvenz en Yve Voppenz); 1409: Vroonland 5£ 14sc 1d (840 fol 15); 1414: afterstal van 1413, 34sc 1d (844 fol 18v); 1416: afterstal van 1415, 4sc (846 fol 16v); 1422-1423: Gerrit Voppenzoons kinderen: afterstal van 1419, 1420 van Vroonland 3£ 19sc 3d",Rek Rentmeester Kennemerland,,
2013263,1418,Gheryt,Voppenz,"Jan, zoon van Gheryt Voppenz:  afterstal van 1417 van Vroonland 7sc (848 fol 15)",Rek Rentmeester Kennemerland,,
2013264,1445-1446,Gheryt,Vredericsz,"Gerrit Vredericsz: die de herfstbede, Vroenscoude gadert in al Kennemerland, van zijn roc 3 £ (876 fol 17v); 1446-1447 (877 fol 18v) t/m 1455-1456 (886 fol 24v): van idem 3 £ ",Rek Rentmeester Kennemerland,,
2013265,1469-1470,Gheryt,Vredericsz,"Gheryt Vrericsz: pacht het schoutambacht van Uitgeest voor 18 £ 10st per jaar, 6 jaar (901 fol 24v); 1470-1471 (902 fol 22v) t/m 1474-1475 (906 fol 30v): voor idem 18 £ 10sc",Rek Rentmeester Kennemerland,,
2013266,1476-1478,Gheryt,Vredericsz,"Gheryt Vredericsz: de sargant en dienaer die myns heren zeevond bewaard te Zevenhuizen, zijn tabbert van 2 jaar: 6 £ (908 fol 48v); 1478-1479 (909 fol 39) t/m 1483-1484 (914 fol 30): zijn tabbert 3 £ ",Rek Rentmeester Kennemerland,,
2013267,1349-1350,Gheryt,Wiggersz,Gheryt Wiggersz: afterstal van Vronen (798 fol 28v),Rek Rentmeester Kennemerland,,
2013268,1460-1461,Gheryt,Wiggersz,"Aecht, vrouw van Gerrit Wiggersz, koopt tbv de erfgenamen van Martyn Woutersz, een door hem nagelaten stukje land bij Medemblik voor 2 £ (891 fol 19v)",Rek Rentmeester Kennemerland,,
2013269,1408,Gheryt,Wilbrantsz,"Gheryt Wilbrantsz: van de hoefsloet op ten Langhendijc met zijn toebehoren 33 £ 5sc (839 fol 13); 1406: (837 fol 7v) Gherijt Wibrantsz: van de tienden van de Utwerp 35 £ 5sc; 1407: (838 fol 8v, 10) de tienden van de Utwerp 25 £ 10sc, de visserij van Langerlaen op de Langendyc 37£ 12st; 1411: (841 fol 20) afterstal van 1407 Gerit Wilbrandsz en Alof Heres, van de Hoefsloet 22sc 10d",Rek Rentmeester Kennemerland,,
2013270,1384-1385,Gheryt,Willemsz,"Gheryt Willemsz: afterstal van de visserij van de watertocht buten Spanbroec 52sc 1d, de visserij als voren 3 £ 11sc, de swaen in Wognemercogge 3 £ 10sc (826 fol 6v, 17v, 19v); 1382: (823 fol 12) van de watertocht buten Spanbroec 3 £; 1383: (824 fol 8v, 10) de tienden van Spanbroec 27£ 25sc, van de watertocht 56sc; 1383-1384: (825 fol 16V) de watertocht buten Spanbroec 31sc; 1385-1386: de biertollen in Wognemmercogge 26sc, afterstal van de watertocht 5£ 17sc 7d (827 fol 19v, 6); 1393-1394: (829 fol 11) van swanen in den middelencogge 3£",Rek Rentmeester Kennemerland,,
2013271,1423-1424,Gheryt,Willemsz,"Gheryt Willemsz: betaalt visserijgeld van 13 ½ geers te Scagen (854 bijlage); 1425-1426: de tiende van Heyninghewerf 14 £ (857 fol 3v); 1427: (857 fol 16v) pacht de tienden van Heyningewerf 15 £ 10sc; 1427-1428: (fol 37) ½ van de tienden van Abbingedorp, 8£; 1428: (858 fol 3v, 4v) de schout van Schagen, afterstal van tienden 40£, afterstal van 1427 van de tienden van Abbingedorp 5£ 2sc 6d",Rek Rentmeester Kennemerland,,
2013272,1482-1483,Gheryt,Willemsz,schepen van Wijk op Zee: Gheryt Willemsz (913 fol 20v); 1497-1498: (925 fol 24) pacht de corentienden van Wijk op Zee voor 2 £ ,Rek Rentmeester Kennemerland,,
2013273,1494-1495,Gheryt,Willemsz,"Gerrit Willemsz te Velzen: 1494-06-13, verteerd te zijnen huize bij het verkopen van de tienden van Hogengeest en de corentienden van Wijk op Zee 24sc (922 fol 38)",Rek Rentmeester Kennemerland,,
2013274,1495-1496,Gheryt,Willemsz,Geryt Willemsz: pacht de tienden van Hogengeest te Velzen voor 12 £ (923 fol 23v),Rek Rentmeester Kennemerland,,
2013275,1473-1474,Gheryt,Willem Taemsz,Gerrit Willem Taemsz: koopt voor 10 st een deken uit een boedel te Beverwijc (905 fol 21),Rek Rentmeester Kennemerland,,
2013276,1384-1385,Gheryt,Willem Juttenz,Gheryt Willem Juttenz: van een besterfte tot Assendelft 7 £ (826 fol 20v),Rek Rentmeester Kennemerland,,
2013277,1268-06,Gerungus,,[Aalburg] frater Gerungus unum equum trotantem et equitantum pro 5 £ Lov,H Pirenne: Livre Abbé de Ryckel St Truyen p 176,,
2013278,972-10-06,Gerwinus,,"getuige te Gend, onder de nobiles: Gerwinus",Cartul de la Ville de Gend p 83,,
2013279,889-08-04,Gerulfus,,"koning Arnulf schenkt aan comes noster Gerulfus dedimus ei inter Renum et Suitherdeshaga in comitatu ipsius in locis Nordtha ex osprehtashem nominatis silvum unam et terram arabilem unam; in loco qui dicitur Bodokenlo  hobam unam; in Alburch quoque hobas duas, et in loco Huvi vocato mansam unam et in loco Theole mansum unam et in Aske mansam unam",v.d. Bergh I no 21,,
2013280,960~,Gerulfus,,"blaffert van St Maarten, Utrecht: in Rothulfvashem [Rijnsburg] medietate totu.. villae et in super hereditas Aldeburge, quicquid ibi habuit Piscatio, quam Gerulfus habuit in extrema parte Rheni fluminis, ⅙ part St Maarten; 960-06-29: Gerulfus getuige voor Rutger die een schenking doet aan Gend","v.d. Bergh I no 33 p 24b, I no 34",,
2013281,770~800,Gerwic,,"Friese goederen van de abdij Fulda: Gerwic tradidit S Bonifacio terram juris et proprietatis mee in pago Wirense cum familiis et possessionibus (Caput 5); Caput 36: de possessione Gerwiches eodem anno, 8 pondera et 9 unciae et 10 denar","v.d. Bergh I no 9 Caput 5, 36, 32, 106",,
2013282,1285,Robbrecht,Gerritsz,"leen van Amstel: no 127) 5 £ in Lopik aan zijn woning, Ribrecht heer Gerritsz, leenman van Amstel, staat borg bij de graaf voor de zoen van Amstel",Ons Voorgeslacht 09-1988 p 405,,
2013283,1462-1466,Cornelisz,Gerritsz,"schepen van Dordrecht: Cornelis heer Gerritsz [Bogaert], 1472 kwam in zijn plaats Rutger van der Haer Sandersz","Balen: Dordrecht p 293, 294",,
2013284,1578-04-10,Gerrit ,Willemsz,"Gerrit Willemsz verkoopt aan de stad Alkmaar een acker groot ½ want 4 roeden buiten de Kennemerpoort, bezuiden de gracht, benoorden het stadserf",Bruinvis: Aanv Inv Arch I p 108; I p 94,,
2013285,1575-09-20,Gerrit ,Willemsz,"Gerrit Willemsz, van Wognum, met zijn zuster Neel, verkopen aan de stad Alkmaar een huis en erf aan de westzijde van het Nieuweland (afgebroken in de vergroting van de stad)",Bruinvis: Aanv Inv Arch I p 88,,
2013286,1467-12-03,Gerwert,Meynertsz,"Gerwert Meynertsz wordt betrokken in het proces van de procureur generaal tegen Soyer Soyersz, Hercke Soyersz, Gille Walicxz, Hercke Aelbrechtsz en Jan Gerwertsz: Soyer Soyersz als schout, Gherwert Meynertsz, Pieter Willemsz en Jelle Walichsz, toen schepenen van den Nyenlande, gedagvaard, omdat zij tegen de oude costumen binnen het voornoemde schoutambacht 4 R gld op elk schotpond geeist hadden; o.a. Gerwert Meynertsz c.s stellen procureur; 1467-12-07: uitgesteld naar overmorgen; 1467-12-09: over idem","Coll Aanw 238 fol  29v, 30, 32v, 52v, 53v, 61-63/Memorien Hof van Holland fol 8, 8v",,
2013287,1462,Gheryt,Woutersz,"Gerrit Woutersz, van Alcmaer, 22000 stiens, elc 1000, 11st, facit 24gld 2st, noch 7100 stiens, facit 8 gld 1 braspenning",Kerkelijke Rek Haarlem fol 28,,
2013288,1412,Gheryt,Woutersz,"Gheryt Woutersz, zwager van Haestgen Willems, was vrouw van Jan Trudenz, te Tetrode, betaalt samen met haar 4 sc rente aan de kerk te Haarlem (fol 7v); 1426: (fol 2) Gerrit Woutersz, Overveen, graf 1sc; 1434: (fol 4, 6v) Dirc Geryt Woutersz, Overveen, cloc ½ scilt, testament 1 scilt",Kerkelijke Rek Haarlem ,,
2013289,1537-1540,Gerrit~,Wolbrantsz,"schepen van Sparendam: Gerrit Wolbrantsz, beluyt 1538-04-01 met Mary, 10st",Kerkelijke Rek Haarlem  fol 18v,,
2013290,1538-04-26,Gheryt,Thomasz,Gheryt Thomasz en Jan Zybrantsz: ontvangers van de bier- en korenaccijns te Haarlem,Grote Raad Mechelen E.A. Dossiers dl III dossier 2749/3,,
2013291,1430,Gheryt,Faessenz,"Gheryt Faessenz en zijn vrouw Margriete Americk Douwendochter, Dordrecht: 9 Wilh sc op Haarlem 111 £ 11sc 3d, Gheryt Faessenz en Sede Aernt Faessenszsdochter, ½ jaar 5 £ 14sc 8d (184 fol 11v, 86); 1428-1429: (fol 53v)  op 1428-09-17 kopen Gheryt Faessenz en Oede Aernt Faessenszdochter een lijfrente van 8 Wilh scilden per jaar op Haarlem voor 115£ 12sc; 1431-1432: (fol 39v, 42) zijn rente 6£ 2sc 8d en 6£ 18sc",Thesauriersrekening Haarlem,,
2013292,1432-1433,Gheryt,Faessenz,"Gheryt Faessenz: (fol 29v, 31) zijn rente 7 £ 10sc en 6 £ 13sc 4d; 1433-1434: (fol 23, 24v) zijn rente 7 £ 10sc, 6 £ 13sc 4d; 1434: (188 fol 16v) Gheryt Faessenz en Margriet Americ sDouwendochter 4 ½ Wilh scilt, facit 7 £ 13sc, (fol 19v) Gheryt Faessenz en Oede Aernt Faessendochter 6£ 16sc; 1435-1436: hun rente 5£ 11sc 11d 2 hall (fol 49v), (fol 54) Gheryt en Oede 4£ 19sc 6d",Thesauriersrekening Haarlem,,
2013293,1405,Gheryt,Willetgen,Gheryt Willetgen: ontvangt voor het bewaren van mijns heren somerpaerden tot Egmonde 7 £ (836 fol 10v),Rek Rentmeester Kennemerland,,
